name_provincia,name,row,col,code
TUCUMAN,BURRUYACU,1,4,013
TUCUMAN,CAPITAL,2,4,001
TUCUMAN,CHICLIGASTA,4,2,005
TUCUMAN,CRUZ ALTA,2,5,012
TUCUMAN,FAMAILLA,3,3,003
TUCUMAN,GRANEROS,5,4,009
TUCUMAN,JUAN B. ALBERDI,5,3,007
TUCUMAN,LA COCHA,6,3,008
TUCUMAN,LEALES,3,5,011
TUCUMAN,LULES,3,4,002
TUCUMAN,MONTEROS,3,2,004
TUCUMAN,RIO CHICO,4,3,006
TUCUMAN,SIMOCA,4,4,010
TUCUMAN,TAFI DEL VALLE,2,1,017
TUCUMAN,TAFI VIEJO,2,2,016
TUCUMAN,TRANCAS,1,3,014
TUCUMAN,YERBA BUENA,2,3,015
